# The phase-gate criteria (docs/13, G7-G9; the G0-G6 rows are docs/7's, closed history the
# v3 plan carries by reference and this file keeps runnable). One row per criterion; adding
# a criterion is adding a line. Tab-separated:
#
#   phase     the gate it belongs to: g0 .. g9
#   kind      `tests`   — a cargo-nextest filterset, run with --no-tests=fail
#             `command` — a command run from the repository root
#   selection the filterset or the command
#   what      what the criterion establishes, in the words its plan uses (docs/7 for
#             g0-g6, docs/13 from g7 on)
#
# Two readers: `phase.sh` runs the rows for one phase and counts them, and
# `counted-selections.sh` proves every `tests` row still selects more than zero tests —
# the predecessor's defect was a gate whose selection had silently gone to zero while the
# gate stayed green.
#
# phase	kind	selection	what
g5	tests	package(webcam-handler-engine) and test(/^photo::tests::a_photo_(taken_while_the_camera_is_previewing|with_no_preview_running|whose_settle_budget)/)	**the verb that carries the mechanism, over the fake replaying a committed profile** (design **D6**, **D12**; note **N83**). The sequence lives inside `engine::photo::take` rather than beside it, which is what makes `webcam-handler-cli`, `webcam-handler-daemon` and any later caller get it without arranging anything (§2.10: one home per law) — and this row is that placement, asserted through the verb rather than through the helper. Three claims. *The photo happens during a live stream and is still verbatim*: a suspend/resume that re-negotiated into a format needing a re-encode would leave the picture intact and cost the product what AGENTS calls it ("verbatim camera JPEG when the sink allows — byte fidelity is the product"), so `Rendering::is_verbatim` is asserted beside the three `STREAMON`s the sequence costs. *What a viewer sees is a fact rather than a paragraph*: the resumed stream's first frame is **sequence 0 again**, because `STREAMON` resets the driver's counter — the one signal on the wire that says "this stream restarted" rather than "frames were dropped", which move the number forward — and it is passed through as the device reported it, since that field's contract is that it is the device's number (D5). *The bound reaches the request*: the number checked is the settle deadline the `PhotoRequest` carries, so this is where `limits::PREVIEW_SUSPEND_MAX_MS` and a client's own ask meet, refused with the preview left streaming and served again one millisecond lower. The no-preview arm is the conditional half: one stream, no gap, and the camera not left streaming — the numbers a build that suspended unconditionally would move
g5	tests	package(webcam-handler-daemon) and binary(preview) and test(/(a_photo_taken_during_a_preview|a_photo_with_no_preview_running_answers|a_capture_that_fails_mid_photo|two_tabs_and_a_photo_between_them|two_photos_at_once_during_a_preview)/)	**the ruling over a real socket, and the pause counted rather than silent** (owner ruling, 2026-08-12; note **N83**; rubric rule 3). These four replace the row member that pinned the old `Busy` and went red on purpose. *A photo during a preview*: the answer is a photo whose bytes are still a JPEG bitstream and whose `byte_count` agrees with them (note N34's predicate, from the client's end), the interruption count is **read** off `Wchd::watch_preview_interruptions` rather than inferred, frames are published after the answer that did not exist before it — awaited on the daemon's own count with `PREVIEW_FRAME_WAIT_MS * 2` around it, so a build that skipped the resume fails on an assertion naming the bound instead of hanging — and the fake's counters say one descriptor and exactly three streams: the preview's, the photo's own, and the resume. *A photo with no preview* answers exactly as it did before the ruling: one stream, no interruption, no feed. *A capture that fails mid-photo* still leaves the preview streaming and **still counts the interruption**, which is the case a gap counted only on success would under-report and the reason `engine::photo::Taken` carries the gap beside the outcome; the failure is a settle deadline of zero rather than a queued frame fault, because while a preview is running there is a `next_frame` in flight continuously and a frame fault would be a race between the preview's turn and the photo's capture — the fault-menu injection lives in the engine suite where the double is exclusive. *Two tabs with a photo between them* are still one streamer: neither tab is told anything, both keep painting, one `open`, one feed, three streams. *Two photos at once* is the shape that reaches the one window the whole design is about: the suspend, the capture and the resume are indivisible because they are one actor command on the thread that owns the device, and a build that split them across two commands puts the second photo's `STREAMON` between the first's stop and its restart — so one of the two meets `Busy`, and no other test in this suite has two requests in flight to notice. Both answers are checked, the interruption count is two, and five streams is one capture and one resume each on top of the preview's. The count is what makes the pause observable at all: nothing is published during it, so nothing is dropped, and `watch_preview_frames` and `watch_preview_drops` are both blind to it
g5	tests	package(webcam-handler-daemon) and binary(web_client) and test(/every_module_of_the_client_is_served_with_a_content_type_a_browser_will_run/)	the client's own module graph, fetched the way a browser fetches it: anonymously, over a real socket, and with the header that decides whether the bytes do anything. `http.rs`'s asset row establishes the **status** over this population — every file this build embeds is `200` to a request presenting nothing, which is the owner's 2026-08-12 ruling as a requirement (note **N82**) — and this establishes the `Content-Type` beside it, because a module served as `application/octet-stream` is a script a browser declines to execute on a page that then renders and does nothing, which is the quietest way to ship a client that does not work. The expectation is `web::get`'s own answer rather than a transcription, so what fails here is the daemon serving something *other* than what the asset crate types the file as; the population is `web::paths()`, so a module added to `crates/web/assets/` joins by existing; and the count of `.js` assets is asserted non-zero, because a client with no ES modules in it would satisfy every other assertion in the test and would not be design §2.7's client. Beside them, the document at `/` is asserted to name an entry module, which is where "the URL `webcam-handler-daemon` printed starts the client" stops being a diagram — the daemon spells exactly one asset name (`web::INDEX`) and the rest of the graph is the page's business
g5	tests	package(webcam-handler-daemon) and binary(web_client) and test(/(the_control_report_the_panel_is_generated_from|a_write_the_driver_clamped|the_guarded_checkbox_is_two_operations|a_refusal_carries_the_discriminant)/)	the DTO the control panel is generated from, read off the page's own WebSocket as JSON (docs/7 P5c: "control panel generated from the `controls` DTO"). Four device behaviours, each a measured finding with a PF number and each a different way a naive panel is wrong, asserted separately rather than as "the report parsed": a **menu with a hole in it** \[PF:2\], whose indices cross JSON as *object keys* — so a client that walked `0..n`, or used an option's position as its value, writes an index the device never declared; a control an **automation partner owns right now** \[PF:3\] together with the pair that names the owner, because an INACTIVE flag with nothing to name leaves a page saying "something owns this"; a **current value outside its own declared range** \[PF:4\], which is the case a slider element cannot represent at all; and a **control type this build cannot name** \[PF:1\], carrying its raw discriminant and its opaque payload, which is why the panel's type switch has a fallback arm that renders something (AGENTS rule 6). Beside them the three facts a write turns on: `{requested, applied}` with the clamp *named* and its range on the warning — the fact a slider snapping back is a rendering **of** (D3, E4, \[PF:6\]) — with the exact write asserted beside it so the claim is about a clamp rather than a daemon that warns at everything; the guarded flag as **two operations**, where the measured answer is not the documented-sounding one (an unguarded write to an INACTIVE control is *performed*, not refused, because `engine::pairing` takes the unguarded path before it looks at the flag; `ControlInactive` is the guarded path's refusal for a control with no partner to release), and where the guarded one names what it switched off and the coupling is then seen to move on a control the operator never touched; and the D13 **discriminant** on `error.data.kind`, three refusals with three different names, because `busy`, `device_gone` and `permission_denied` are three different things to do next and "unavailable" is none of them (AGENTS rule 7, design E3). The numeric codes are checked through `api::rpc_code` rather than against literals, and the *name* is what the page reads, precisely because it survives a renumbering
g5	tests	package(webcam-handler-daemon) and binary(web_client) and test(/(a_photo_over_the_pages_socket|the_page_can_watch_a_sweep_it_did_not_start|the_camera_lists_subscription_ends)/)	the three things the client does with **both** of its transports open at once, which no other suite in this workspace has arranged. The photo trigger: the preview is an `<img>` request on the TCP listener, opened at the URL `assets/credential.js` builds, and the photo is a `wch_photo` on the WebSocket beside it — and the first survives the second, with the daemon's own interruption count *read* rather than inferred (`Wchd::watch_preview_interruptions`, which exists because folding a suspension into a drop count would tell an operator their socket was slow when their camera was busy being a camera). That is the owner's 2026-08-12 ruling from the client's side (note **N83**): `assets/photo.js` holds no reference to the preview element, because both client-side designs — a "stop the preview" affordance and a page that tears its own `<img>` down and re-opens it — were rejected, and `preview.rs` asserts the engine's half with the photo taken in process rather than over the socket a page has. The calibration view: a sweep started by **another client on the Unix socket** and watched here, which is what `wch_subscribe_calibration`'s parameterless shape is for (the stream is per *client* and every event carries its session id), with `index`/`total` asserted on the in-flight variants because that pair is what lets a subscriber which connected mid-sweep paint a truthful bar, and with the two documents the view reads afterwards — a listing built from the directory tree alone (D9) and a status whose samples carry both `requested` and `applied` \[PF:6\]. And the camera list's own subscription, which ends **differently on purpose**: a `HotplugEvent` is a delta, so that stream is closed rather than resynced, and the page's documented answer — re-subscribe and re-enumerate — depends entirely on the ending arriving as a payload rather than as a socket that closed. `web_rpc.rs` asserts the same mechanism for the calibration stream and the two are not one claim: different subscriptions, different loss semantics, different things for the page to do
g5	tests	package(webcam-handler-web) and test(/(every_reference_the_client_makes_names_a_file_this_build_embeds|the_page_declares_every_script_it_loads_as_a_module)/)	the client's module graph as a property of the embedded table, walked from `web::INDEX` because that is the only file name the daemon spells. Two claims and neither implies the other: **every reference resolves** to an asset this build embeds — a renamed module is a `404` inside a module graph, which a browser reports by running *nothing*, and is therefore the cheapest way to ship a page that silently does not work — and **every asset is reachable**, because a file nobody imports is bytes in `webcam-handler-daemon` that no request will ever ask for. The walk is over `import`/`from`/`src=`/`href=` with comments removed, and the cost of that coarseness is written down where the scanner is rather than left to be discovered: a *trailing* comment carrying one of those markers before a quote would be read as a reference and would fail, which is a rule about how to write a comment in `crates/web/assets/` and is cheaper than a JavaScript parser in a crate whose dependency wall is `rust-embed` and nothing else (T6). Beside it, the page is asserted to declare every script it loads as `type="module"`, because a classic script may not `import` and the failure is quiet — the page renders and none of it runs. All three are claims about **bytes in a table fixed at compile time**, which is exactly the kind of thing that can be settled without a browser; that Chrome then executes what it fetched, and that a sparse menu becomes a `<select>` carrying the device's own indices, is P5d's and is deliberately absent here (docs/7 P5c: "a browser behavior verified only through the JSON the page consumes is not verified")
g5	command	./scripts/rung-web.sh	**R1-web, the browser rung** (design §3.1 R1-web, docs/9 Part 2's "The R1-web Playwright rung" row, docs/7 P5d) — and this row is a `command` rather than a filterset because what docs/7 asks the gate to record is not a test count but *which of two things happened*: "on the dev machine the rung runs, and the gate close records whether it ran or skipped, by name". The runner ends on one of exactly two verdicts and refuses to end on neither — `RAN`, quoting the suite's own count of claims and assertions and the Chromium build that made them, or `SKIPPED`, repeating the test's `SKIP r1-web:` line, which names the missing precondition, the recipe that supplies it, and every claim it cost by title. A green run that printed *neither* is a failure here, because a rung nobody can tell apart from one that was never invoked is the whole defect class this suite exists for. What the rung itself establishes is the half rubric B7 says was never established: `crates/daemon/tests/web_client.rs` proves the DTO arrives with the holes, the INACTIVE flag, the out-of-range current and the unnameable type in it, and stops there by design — this proves they reach a screen, in a headless Chromium pinned by build number and asserted to be that build. Twenty-four claims, 206 assertions — the reporter's own count, compared against `tests/browser/claims.json` on every green run. **The ones enumerated here are P5d's ten**; the fourteen added since are P6c's recording view, the P5 review's credential and socket repairs (notes N95, N96), N131's pinned-browser assertion, and the G6 review's five browser-side findings — H4's leaked preview, M32's panel identity, M33's silent startup refusal, L36's late recording line and L38's socket liveness — each an arm here because a browser behaviour verified only through the JSON the page consumes is not verified. P5d's ten: a sparse menu becoming a `<select>` carrying the device's own indices and not an option's position \[PF:2\]; an INACTIVE control rendered **enabled**, badged, and naming what owns it \[PF:3\], beside a READ_ONLY one rendered disabled \[PF:12\], without which \"enabled\" would be a claim about a panel that never disables anything; an out-of-range current shown with no `min` and no `max` on the field beside it \[PF:4\]; an unnameable control type showing its raw discriminant and payload \[PF:1\]; a clamped write moving the slider back with both numbers beside it \[PF:6, D3\]; the preview `<img>` *painting* successive frames — proven by the picture's mean luma following the fake's declared brightness gain while the element and its request stay the same, because Chrome fires one `load` for a `multipart/x-mixed-replace` image and no more — and still painting after a photo (note **N83**), which is that mechanism seen from a viewer's side for the first time in this workspace; the calibration view painting a sweep driven on a second socket; the client **loading and running with no credential** while an anonymous WebSocket upgrade and an anonymous `<img src="/preview?…">` are both refused and the same preview URL with the token paints (note **N82** — the pre-ruling claim "anonymous requests are refused" would now be false of `/`); and a dropped socket reported, its preview ended, and the next socket working. The rung ran on this host at P5d: 10 of 10 green in Chromium 151.0.7922.34, build 1234
g5	tests	package(webcam-handler-daemon) and binary(web_browser) and test(/^a_declined_rung_names_what_was_missing_and_counts_what_it_did_not_run$/)	**the skip path, driven rather than trusted** (AGENTS rule 3: every auto-skipping rung reports a named, counted skip, never silence; rubric rule 2: every predicate must be able to fail, proven). R1-web is the first rung in this project that runs on **every** push and declines on a host that cannot run it, which makes its decline the single line standing between "this was checked" and "nobody knows" — so the decline is exercised with each precondition removed in turn and each arm asserts the message names *that* one: no node at all, node without the pinned Playwright beside it, and Playwright without the pinned browser build. Answering "install node" to a host whose node is fine is how a skip stops being read, which is how it becomes a pass in a costume. The counted half is asserted too: the report says how many claims and how many assertions were not run, names every claim by title with its own count, and carries exactly one line beginning `SKIP` — so counting declines and counting the claims they cost are two numbers rather than one confused one. The count itself is not a transcription: `tests/browser/claims-reporter.mjs` counts one entry per test and one assertion per top-level `expect` from inside the runner, and the harness compares that against `tests/browser/claims.json` on every green run, so a claim added to a spec and left out of the manifest is red and so is a claim that quietly stopped asserting half of what it did
g5	tests	package(webcam-handler-daemon) and binary(web_browser) and test(/^node_is_never_a_build_dependency$/)	**node is a test-host convenience and never a build dependency** (design §2.8, §3.1 R1-web, AGENTS "Docs and dependencies": build deps are acceptable, runtime external binaries are not, and the browser rung sits with ffprobe and mpv as test-time tooling outside the shipped licence inventory). The claim is easy to keep today and easy to lose the day somebody adds a `build.rs` that shells out, so it is asserted over a derived population rather than remembered: every `Cargo.toml` under the workspace, found by walking it, with the count asserted non-vacuous so a walk that found nothing cannot pass by checking nothing. **This workspace runs no build script at all** — the V4L2 bindings are committed bindgen output rather than generated at build time — so the available statement is also the strongest one: no member declares `[build-dependencies]`, none names a `build =` key, no `build.rs` sits beside any manifest, and no manifest mentions `node_modules`, `npm` or `playwright`. A machine with no node compiles every crate in this workspace, which is what makes the rung's decline a skip rather than a broken build
g5	command	cargo clippy --locked --offline --workspace --all-targets -- -D warnings	zero clippy violations across the workspace, tests included — the first gate close whose `--all-targets` population contains a browser client and the transport under it: P5 added `webcam-handler-web`, seven `daemon::http` modules (`posture`, `token`, `gate`, `listener`, `rpc`, `preview`, `mod`), the `daemon::preview` bridge, and five integration binaries (`http`, `web_rpc`, `preview`, `web_client`, `web_browser`) that nothing but `--all-targets` reads. `--offline` is what separates this row from `just lint`, and it is not decoration: a phase gate is re-runnable or it is not a gate (docs/7's standing conventions), and a criterion that needed a network to answer is one nobody can re-check on the machine the cameras are attached to. The workspace lint table denies `allow_attributes` and `allow_attributes_without_reason` (note **N1**), so a suppression written in a hurry against an axum extractor or a borrow that crosses an await has to be an `#[expect]` carrying its reason rather than a bare `#[allow]` nobody has to justify
g5	command	cargo deny --offline check bans licenses sources	zero cargo-deny violations: the allowlist and every named ban, over the phase that put a **web stack** in the lockfile — twenty-three packages join across P5, 286 to 309. `axum` and `axum-core` arrive at P5a with `daemon::http::listener`; `rust-embed` with `rust-embed-impl` and `rust-embed-utils` arrive one crate along in `webcam-handler-web`, and bring the `sha2`/`digest`/`block-buffer`/`crypto-common`/`hybrid-array`/`const-oid` chain with them for the integrity hashing an embed does; `tower-http` arrives at P5b for the `CompressionLayer` the preview route has to be excluded from, and brings `async-compression` and the two `compression-*` crates; `mime`, `mime_guess`, `unicase`, `matchit`, `percent-encoding`, `walkdir`, `same-file` and `winapi-util` complete it. Every one of those manifests is read for the first time by this row. Two of `deny.toml`'s named bans are the ones an HTTP stack is most likely to arrive carrying and neither had been tested against a graph that could trip it: **no TLS features** (design §2.8 — D11's listener is loopback and a transitive `rustls`/`native-tls` would be a posture change arriving as a dependency) and the **MPL** ban that already cost this project `colored`, `minimp4` and `option-ext` (note **N2**)
g5	command	./scripts/gates/run-all.sh	every shipped gate predicate green over the tree, the P5 additions included — and the row that makes this gate's predicate population derived rather than transcribed, because `run-all.sh` walks `scripts/gates/` rather than a list (`gate_predicates`, `scripts/gates/lib.sh`). Twenty-five predicates run, three of them new since G4 — `token-comparison-has-one-home.sh`, `web-routes-are-gated.sh`, `scratch-has-one-home.sh` — and twenty-one are named by no `g5` row at all. Two of those are why this row is load-bearing here rather than by inheritance. `counted-selections.sh` proves that no `tests` row of this very table has silently gone to zero, which is v1's "`just gate-g5` counted" and note **N10**'s whole family; g5 is the phase where it bites hardest, because thirty-one of its rows are filtersets and eleven of them name individual tests by regex, which is the shape that stops selecting anything when a test is renamed. And `scratch-has-one-home.sh` is the predicate note **N84** declined a `g5` row for, in these words: "every phase g0–g4 carries a `./scripts/gates/run-all.sh` row, and the new predicate is in that population by existing". That argument was true of g0–g4 and **false of g5**, which had no such row until this one — so between `c214fc9` and here the ruling N84 landed was reachable from `just ci` and from no phase gate. A criterion reachable only through this row is a criterion G5 could not close without it
g5	command	./scripts/gates/selftest.sh	every shipped gate predicate red on its own inverse, counted, both directions — and in this phase it is where the two *security* predicates prove they can fail. `token-comparison-has-one-home.sh` has thirty-one fail arms and four written green ones, and it is the one criterion in this workspace that exists because a **test** could not be written (note **N78**): `==` for `Token::verify` is behaviourally identical on every input and changes only how long the daemon takes to say no, so "the gate can go red" is the only claim available about it and an unfalsifiable gate would be worse than the mutant. `web-routes-are-gated.sh` has eighteen more with five green, all of them the owner's 2026-08-12 ruling (note **N82**) — the structural half of the property that replaced "every route the web listener serves is behind the token" when the assets stopped being behind it. `no-external-fetch-in-web.sh` gained its **non-vacuity** arms at P5a (`fail_case_the_asset_directory_is_empty`, `fail_case_the_asset_directory_is_gone`), which are the arms that answer a predicate scanning nothing and calling it clean — rubric rule 2's requirement that the inverse be driven by the thing under test
g5	command	./scripts/gates/no-frame-bytes-in-repo.sh	no camera frame in the repository, over the phase that gave a **browser** somewhere to write one. AGENTS' "a frame may contain a person" held over `webcam-handler-daemon` and the Rust suites before this; P5d added a Playwright runner whose traces, screenshots and HTML report are files a rung produces **on failure**, which is the moment nobody is watching the working tree. `crates/daemon/tests/browser/playwright.config.mjs` requires `WCH_E2E_OUTPUT` rather than defaulting it, and says why in its own words — "a rung that can quietly write into `crates/` is one bad day from a screenshot in a commit" — but a required environment variable is a convention, and this row is the half that goes red. That the gate cannot see the artifacts where they *legitimately* go is the arrangement rather than a hole in it: `gate_find` prunes `target`, `.git`, `vendor` and `node_modules` (`scripts/gates/lib.sh`), `target/wch-scratch/r1-web/` is where note **N84**'s ruling put them, and everywhere else on the tree is where this row looks
g5	tests	package(webcam-handler-daemon) and test(/neither_form_of_the_credential_reaches_the_daemons_own_log/)	**the secret does not reach this daemon's own log, in either form a caller may present it** (P5 review lens 1). `daemon::http::rpc`'s header declared this class closed because `without_the_query` stripped `?token=` before jsonrpsee's service logged the request — and jsonrpsee logs the request line **and the headers**, so the `Authorization: Bearer` form the daemon's own 401 body recommends went into the journal in full at `RUST_LOG=trace`. Under systemd that is a persistent file whose readers are the operator *plus* `systemd-journal`, which is the multi-user boundary D11 exists about, on the route that **drives** a camera. The reason nothing caught it is worth the row: `without_the_query` took a `Uri`, **and a `Uri` cannot express a header**, so no fixture in that module could state the failing case — the signature was the blind spot, and taking the whole `Request` is the repair. This is the only assertion in the workspace about what the daemon *writes* rather than what it answers, and the only test that reads `tracing` back — it needs a **global** subscriber, because jsonrpsee logs from a spawned task where a thread-local sees nothing, so it carries two non-vacuity clauses (the capture saw jsonrpsee's target, and saw the request's own `Host` header) without which it would pass by seeing nothing at all
g5	tests	package(webcam-handler-daemon) and test(/connections_are_bounded_at_the_number_this_project_chose/)	**both transports refuse a connection past `limits::DAEMON_MAX_CONNECTIONS` at accept, and this row counts two tests rather than one** — the regex is deliberately spelled without either suffix, so it goes red if *either* the Unix socket or the web listener loses its bound, and its count is itself the claim (P5 review lens 2). The web listener had none: `axum::serve` accepted without a permit, and `daemon::http::rpc` claimed otherwise on the strength of jsonrpsee's `ConnectionGuard`, which is taken per in-flight **request**. This daemon had already measured that and written it down one transport along — `daemon::uds`: "with the cap at 32, 128 idle connections were all accepted and held" — which is why `AF_UNIX` grew a semaphore and why the claim was false rather than merely unproven. Unauthenticated, because the flood sends no byte and so never reaches the gate, which is a `route_layer` over requests; and `limits`' own doc names the cost — the fds it exhausts "on this process are also the camera's"
g5	tests	package(webcam-handler-daemon) and test(/(every_request_the_shipped_page_makes_is_still_served|a_request_a_browser_tagged_cross_site_is_refused_on_every_path_this_listener_serves|a_request_claiming_no_provenance_is_admitted_because_the_primary_consumer_sends_none|the_token_less_cell_is_the_one_this_rule_is_for)/)	**a page in another origin cannot reach this listener, and everything that is not a page still can** (owner's ruling 2026-08-13, notes **N93** and **N95**). D11 states no such rule; this is the behavioural half of one added to the cell D11 deliberately leaves open, so it is asserted rather than assumed — the same argument that earned `every_camera_bearing_route_is_behind_the_gate` its row. **The four members go red in opposite directions and that is why they are one row.** Two of them fail if the rule is too weak: a request a browser tagged `cross-site` must be refused on *every* path the listener serves — assets and the 404 included, because N82 opened the client's own source to a caller presenting *nothing*, which is not the same as a caller at somebody else's origin — and the token-less cell must refuse it too, which a rule living inside the credential gate would not have done. Two fail if it is too strict: every request the shipped page makes is still served, including the `<img>` shape that carries **no `Origin` at all** (N93's measured row, and the reason `Sec-Fetch-Site` is the primary signal), and a request claiming *no* provenance is admitted — which is `webcam-handler-client`, `curl`, and the unattended agent harness AGENTS names as the primary consumer. A rule that refused those would be a rule nobody could ship
g6	tests	package(webcam-handler-imaging) and test(/the_frozen_fixture_is_still_the_file_the_muxer_emits/)	**the byte-exact fixture test** (docs/7 P6a's first criterion), and the first `g6` row this table has ever held — until P6a it had none at all, which `phase.sh`'s own header reports as a phase with no criteria and which is indistinguishable from the pre-P6 state. `crates/imaging/fixtures/avi/two-frame-64x48.avi` is 1852 bytes of finished AVI and this test re-emits it: a field reordered, a flag set at `begin` instead of at `finish`, a `dwQuality` that grew a value, a pad byte that moved into a size field — each of those changes the bytes and nothing else in the suite is looking. What it proves is narrow and the fixture's README says so where a human reading the directory will find it: **a fixture produced by the code under test proves nothing about correctness**, only that the format has not drifted. The same test carries the privacy claim the container hides from `no-frame-bytes-in-repo.sh` — it re-generates both JPEGs from `imaging::fixtures` and compares them against the frames it reads back out of the committed bytes, so a camera frame spliced in here fails the comparison
g6	tests	package(webcam-handler-imaging) and test(/the_size_fields_agree_with_the_bytes_written_over_many_frame_length_sequences/)	**the chunk-accounting property test** — docs/7 P6a's words: "the muxer never emits a size field that disagrees with bytes written, proven by re-parsing our own output". Thirty-two recordings of one to six frames at pseudo-random payload lengths, so the odd/even pattern — and therefore the RIFF pad byte, which is the single most common muxer bug there is — lands everywhere in the sequence rather than where a hand-written fixture happens to put it. The re-parse is `imaging::avi::read`, which docs/7 P6a requires to be "an independent re-parse path that is **not** the writer's code": it was written from the RIFF/AVI specification before the muxer existed, shares no constant with it, and refuses every size field the bytes do not back. The row's non-vacuity is inside the test rather than in this column — it counts its own takes and asserts the sweep was not empty — because a property test that generated zero cases is the shape `counted-selections.sh` cannot see from out here
g6	command	./scripts/gates/avi-reparse-is-independent.sh	**the structural half of docs/7 P6a's re-parse requirement, and the one criterion in this phase that exists because a test cannot be written for it** (AGENTS rule 1). P6a asks the muxer's output to be checked by "an independent re-parse path that is **not** the writer's code", and `crates/imaging/src/avi.rs`'s module doc makes the claim in the strongest form there is — the reader and the muxer "share **no** code, not a constant, not a FourCC, not a helper". The row above is the behavioural half and it cannot hold this: `the_size_fields_agree_with_the_bytes_written_over_many_frame_length_sequences` is exactly as green against a re-parse that reads its FourCCs off the muxer's own line as against one derived from the specification — greener, because two sides that share a constant agree by construction — so the day a shared `FOURCC_MOVI` or a `chunk_header()` helper is factored into a third module beside these two, every test in this workspace passes and the property P6a asked for is gone with nothing left to notice. A test sees values; this claim is about `use` statements and where files sit. Four claims, each able to go red on its own: `read.rs` and `write.rs` are both under `crates/imaging/src/avi/` and are the **only** `.rs` files there, because a third module is precisely where a shared layout helper lands and it would satisfy every other claim here; the reader's product code names no path into the writer, however spelled; the writer's product code names no path into the reader, while its `#[cfg(test)]` half may and does and must, since that coupling *is* what P6a asked for and a predicate forbidding it would forbid the criterion above; and both modules are still **declared**, in `avi.rs` and in the crate root, because an orphaned `.rs` file is not a compile error in Rust and a wall whose subject has left the build has stopped being able to fail (`dependency-walls.sh`'s "the crate left the workspace" arm, charged to a module). Populations are derived — the crate's directory from `cargo metadata`, the modules from the directory listing, the declarations spelled from the stems that listing produced — and the crate, the parent module and the two names are asserted to exist before anything is counted. It goes red in the direction of *sharing*, never of drift: it inherits its limit rather than restating it as a strength, and the limit is that it sees imports and file layout and not two implementations that drifted into agreeing by copy-paste, which review carries. Ten fail arms and three green ones, `pass_case_the_muxers_tests_may_drive_the_reader` the one that matters most among them
g6	tests	package(webcam-handler-imaging) and test(/the_frozen_fixtures_are_still_the_files_the_y4m_sink_emits/)	**the byte-exact fixtures for D7's raw fallback**, and the AVI row above's argument arriving at a container where it is worth more. `crates/imaging/fixtures/y4m/two-frame-64x48-c422.y4m` and `-mono.y4m` are 12 341 and 6 198 bytes, and this test re-emits both: a header field reordered, an `A1:1` pixel aspect that grew back, a per-frame parameter added, a plane written in the wrong order, the two empty chroma planes of a `Cmono` frame silently dropped — each of those changes the bytes and nothing else in the suite is looking at them. What it proves is narrow and `crates/imaging/fixtures/README.md` says so where a human reading the directory will find it: a fixture produced by the code under test proves nothing about correctness, only that the format has not drifted. **The privacy half is where this differs from the AVI row.** An AVI hides its frames inside JPEG bitstreams; a Y4M payload *is* the picture, one 8-bit luma sample per byte in raster order, which is the most direct form a camera frame can take in this repository — so this test re-generates every sample from the three position functions in `imaging::y4m::tests` and compares them against the planes it reads back out of the committed bytes through the independent parser, and `scripts/gates/no-frame-bytes-in-repo.sh` now sniffs the `YUV4MPEG2 ` magic and reads the extent out of the header line (five `fail_case_y4m_*` arms). Two containers arrived invisible to that gate in two consecutive phases, which is the argument for its format list being a decision somebody makes rather than a thing that grows on its own
g6	tests	package(webcam-handler-imaging) and test(/every_raw_format_round_trips_through_a_parser_that_was_not_told_our_layout/)	**the independent re-parse for the second container**, held to the standard docs/7 P6a set for the first: the checking path must not be the writer's code. `imaging::y4m`'s `#[cfg(test)] parse_y4m` is ~90 lines derived from the YUV4MPEG2 format description — it re-derives the plane sizes from the `C` tag it read rather than asking the module for them, and it knows nothing about `MAGIC`, `FRAME_MARKER` or `Layout`. The `y4m` crate's own decoder would **not** have served and that is a measurement rather than a preference (note **N107**): it ships in the same file as the encoder it would have been checking and shares `get_plane_sizes` with it, so it agrees by construction on exactly the questions a re-parse is for. This row drives all three colorspaces — `Cmono`, `C422`, `C420` — through it and compares every plane against samples re-generated from position functions with **disjoint value ranges**, which is load-bearing rather than tidy: note **N108** records a hand-applied mutant that swapped Cb and Cr passing the entire 1261-test workspace suite while the fixtures had neutral chroma. `the_parser_refuses_the_ways_this_writer_could_be_wrong` asserts the parser's own eight refusals first, because a parser that accepts everything proves nothing about what it accepted
